c;1;4;1;99
c;1;4;2;99
c;1;4;3;99
c;1;4;4;99
c;1;4;5;99
c;1;4;6;99
c;2;4;1;99
c;2;4;2;99
c;2;4;3;99
c;2;4;4;99
c;2;4;5;99
c;2;4;6;99
c;3;4;1;99
c;3;4;2;99
c;3;4;3;99
c;3;4;4;99
c;3;4;5;99
c;3;4;6;99
c;4;4;1;99
c;4;4;2;99
c;4;4;3;99
c;4;4;4;99
c;4;4;5;99
c;4;4;6;99
c;5;4;1;99
c;5;4;2;99
c;5;4;3;99
c;5;4;4;99
c;5;4;5;99
c;5;4;6;99
c;6;4;1;99
c;6;4;2;99
c;6;4;3;99
c;6;4;4;99
c;6;4;5;99
c;6;4;6;99
t;1;4;1;99
t;1;4;2;99
t;1;4;3;99
t;1;4;4;99
t;1;4;5;99
t;1;4;6;99
t;2;4;1;99
t;2;4;2;99
t;2;4;3;99
t;2;4;4;99
t;2;4;5;99
t;2;4;6;99
t;3;4;1;99
t;3;4;2;99
t;3;4;3;99
t;3;4;4;99
t;3;4;5;99
t;3;4;6;99
t;4;4;1;99
t;4;4;2;99
t;4;4;3;99
t;4;4;4;99
t;4;4;5;99
t;4;4;6;99
t;5;4;1;99
t;5;4;2;99
t;5;4;3;99
t;5;4;4;99
t;5;4;5;99
t;5;4;6;99
t;6;4;1;99
t;6;4;2;99
t;6;4;3;99
t;6;4;4;99
t;6;4;5;99
t;6;4;6;99
