# Input 1
# Max time = 5, M = 99
# nodes = <1,2,3,4,5>
# blocks = <1,2,3,4,5,6,7>

c;1;1;5;99
c;1;2;5;99
c;1;3;5;99
c;1;4;5;99
c;1;5;5;99
c;1;6;5;99
c;1;7;5;99
c;2;1;5;99
c;2;2;5;99
c;2;3;5;99
c;2;4;5;99
c;2;5;5;99
c;2;6;5;99
c;2;7;5;99
c;3;1;5;99
c;3;2;5;99
c;3;3;5;99
c;3;4;5;99
c;3;5;5;99
c;3;6;5;99
c;3;7;5;99
c;4;1;5;99
c;4;2;5;99
c;4;3;5;99
c;4;4;5;99
c;4;5;5;99
c;4;6;5;99
c;4;7;5;99
c;5;1;5;99
c;5;2;5;99
c;5;3;5;99
c;5;4;5;99
c;5;5;5;99
c;5;6;5;99
c;5;7;5;99
t;1;1;5;99
t;1;2;5;99
t;1;3;5;99
t;1;4;5;99
t;1;5;5;99
t;1;6;5;99
t;1;7;5;99
t;2;1;5;99
t;2;2;5;99
t;2;3;5;99
t;2;4;5;99
t;2;5;5;99
t;2;6;5;99
t;2;7;5;99
t;3;1;5;99
t;3;2;5;99
t;3;3;5;99
t;3;4;5;99
t;3;5;5;99
t;3;6;5;99
t;3;7;5;99
t;4;1;5;99
t;4;2;5;99
t;4;3;5;99
t;4;4;5;99
t;4;5;5;99
t;4;6;5;99
t;4;7;5;99
t;5;1;5;99
t;5;2;5;99
t;5;3;5;99
t;5;4;5;99
t;5;5;5;99
t;5;6;5;99
t;5;7;5;99
