c;1;4;1;99;0.0
c;1;4;2;99;0.0
c;1;4;3;99;0.0
c;1;4;4;99;0.0
c;1;4;5;99;0.0
c;1;4;6;99;0.0
c;2;4;1;99;12.083333333333334
c;2;4;2;99;13.076923076923077
c;2;4;3;99;12.551020408163266
c;2;4;4;99;12.66
c;2;4;5;99;10.88
c;2;4;6;99;11.48
c;3;4;1;99;20.0
c;3;4;2;99;20.533333333333335
c;3;4;3;99;18.772727272727273
c;3;4;4;99;18.42
c;3;4;5;99;18.94
c;3;4;6;99;17.32
c;4;4;1;99;NaN
c;4;4;2;99;26.08695652173913
c;4;4;3;99;24.318181818181817
c;4;4;4;99;25.02
c;4;4;5;99;23.4
c;4;4;6;99;23.38
c;5;4;1;99;NaN
c;5;4;2;99;35.42857142857143
c;5;4;3;99;28.725
c;5;4;4;99;27.26
c;5;4;5;99;27.52
c;5;4;6;99;26.62
c;6;4;1;99;NaN
c;6;4;2;99;41.73913043478261
c;6;4;3;99;34.351351351351354
c;6;4;4;99;31.82
c;6;4;5;99;31.02
c;6;4;6;99;29.619999999999994
t;1;4;1;99;0.0
t;1;4;2;99;0.0
t;1;4;3;99;0.0
t;1;4;4;99;0.0
t;1;4;5;99;0.0
t;1;4;6;99;0.0
t;2;4;1;99;1.0
t;2;4;2;99;1.375
t;2;4;3;99;1.6
t;2;4;4;99;1.74
t;2;4;5;99;1.86
t;2;4;6;99;1.68
t;3;4;1;99;1.0
t;3;4;2;99;1.8064516129032258
t;3;4;3;99;2.106382978723404
t;3;4;4;99;2.38
t;3;4;5;99;2.6
t;3;4;6;99;2.52
t;4;4;1;99;1.0
t;4;4;2;99;2.0
t;4;4;3;99;2.372093023255814
t;4;4;4;99;2.5
t;4;4;5;99;2.76
t;4;4;6;99;2.56
t;5;4;1;99;NaN
t;5;4;2;99;2.0
t;5;4;3;99;2.3421052631578947
t;5;4;4;99;2.88
t;5;4;5;99;2.92
t;5;4;6;99;2.56
t;6;4;1;99;NaN
t;6;4;2;99;2.0
t;6;4;3;99;2.411764705882353
t;6;4;4;99;2.86
t;6;4;5;99;2.64
t;6;4;6;99;2.94
