# Input 2
# nodes = 4, M = 99
# blocks = <1,2,3,4,5,6,7>
# max time = <1,2,3,4,5,6,7>

c;4;1;1;99
c;4;1;2;99
c;4;1;3;99
c;4;1;4;99
c;4;1;5;99
c;4;1;6;99
c;4;1;7;99
c;4;2;1;99
c;4;2;2;99
c;4;2;3;99
c;4;2;4;99
c;4;2;5;99
c;4;2;6;99
c;4;2;7;99
c;4;3;1;99
c;4;3;2;99
c;4;3;3;99
c;4;3;4;99
c;4;3;5;99
c;4;3;6;99
c;4;3;7;99
c;4;4;1;99
c;4;4;2;99
c;4;4;3;99
c;4;4;4;99
c;4;4;5;99
c;4;4;6;99
c;4;4;7;99
c;4;5;1;99
c;4;5;2;99
c;4;5;3;99
c;4;5;4;99
c;4;5;5;99
c;4;5;6;99
c;4;5;7;99
c;4;6;1;99
c;4;6;2;99
c;4;6;3;99
c;4;6;4;99
c;4;6;5;99
c;4;6;6;99
c;4;6;7;99
c;4;7;1;99
c;4;7;2;99
c;4;7;3;99
c;4;7;4;99
c;4;7;5;99
c;4;7;6;99
c;4;7;7;99
t;4;1;1;99
t;4;1;2;99
t;4;1;3;99
t;4;1;4;99
t;4;1;5;99
t;4;1;6;99
t;4;1;7;99
t;4;2;1;99
t;4;2;2;99
t;4;2;3;99
t;4;2;4;99
t;4;2;5;99
t;4;2;6;99
t;4;2;7;99
t;4;3;1;99
t;4;3;2;99
t;4;3;3;99
t;4;3;4;99
t;4;3;5;99
t;4;3;6;99
t;4;3;7;99
t;4;4;1;99
t;4;4;2;99
t;4;4;3;99
t;4;4;4;99
t;4;4;5;99
t;4;4;6;99
t;4;4;7;99
t;4;5;1;99
t;4;5;2;99
t;4;5;3;99
t;4;5;4;99
t;4;5;5;99
t;4;5;6;99
t;4;5;7;99
t;4;6;1;99
t;4;6;2;99
t;4;6;3;99
t;4;6;4;99
t;4;6;5;99
t;4;6;6;99
t;4;6;7;99
t;4;7;1;99
t;4;7;2;99
t;4;7;3;99
t;4;7;4;99
t;4;7;5;99
t;4;7;6;99
t;4;7;7;99
